source,id,title,time_signatures,key_signatures
bc100,BC001,"Ô Canada, Terre de nos aïeux",4/4,F
bc100,BC002,Le petit mousse,9/8,F
bc100,BC003,Les cloches du hameau,6/8,D
bc100,BC004,La laine des moutons,3/8,a
bc100,BC005,"Partons, la mer est belle!",6/8,Bb
bc100,BC006,"Gailonla, gai le rosier",3/8,D
bc100,BC007,La feuille d'érable,2/4; 6/8; 9/8,F
bc100,BC008,À la claire fontaine,4/4,D
bc100,BC009,En passant par la Lorraine,6/8; 9/8,Eb
bc100,BC010,Alouette,2/4,D
bc100,BC011,Dans la  Garde nationale,6/8,G
bc100,BC012,,2/4,G
bc100,BC013,Le p'tit avocat,2/4,D; f; F
bc100,BC014_o-canada-mon-pays-mes-amours_p22-23,"Ô Canada, mon pays, mes amours!",4/4,F
bc100,BC015,Le Carillonneur,4/4,D
bc100,BC016,Vive la Canadienne,2/4,Eb
bc100,BC017,Vive le Canadien,6/8,D
bc100,BC018,C'est l'aviron qui nous mène en haut,2/4,D
bc100,BC019,Souvenir d'un vieillard,4/4,F
bc100,BC020,Le petit Grégoire,2/4,
bc100,BC021,,2/4,D
bc100,BC022,"Debout, les Gars!",2/4,F
bc100,BC023,La prière en famille,2/2,G
bc100,BC024,Dans la forêt prochaine,2/4,F
bc100,BC025,V'là l'bon vent,2/4,D
bc100,BC026,Isabeau s'y promène,6/8,D
bc100,BC027,Frère Jacques,2/4,D
bc100,BC028,Les filles de la Rochelle,6/8,F
bc100,BC029,L'Hirondelle,4/4,Eb
bc100,BC030,Le p'tit cordonnier,6/8,F
bc100,BC031,Le petit prince,2/4,C
bc100,BC032,À la volette,2/4,F
bc100,BC033,Au clair de la lune,4/4,G
bc100,BC034,Il était un petit navire,3/4; 2/4,G
bc100,BC035,J'entends le moulin,2/4,g
bc100,BC036,Mon beau sapin,3/4,G
bc100,BC037,Le vieux sapin,6/8,C
bc100,BC038,Il faut croire au bonheur,2/4,F
bc100,BC039,Ne pleure pas Jeannette,2/4,G
bc100,BC040,Veillée rustique,2/4,D
bc100,BC041,Au fond des campagnes,6/8,D
bc100,BC042,Margoton,2/4,D
bc100,BC043,C'était Anne de Bretagne,6/8; 9/8; 2/4; 3/4,g
bc100,BC044,Le coeur de ma mie,2/4,C; G
bc100,BC045,C'est la belle Françoise,6/8,g
bc100,BC046,Ça fait peur aux oiseaux,3/4,g
bc100,BC047,Alouette n'aie pas peur de moi,2/2,Eb; Bb
bc100,BC048,Mon merle,2/4; 3/4,D
bc100,BC049,Le temps des sucres,6/8,g
bc100,BC050_le-temps-des-lilas_p63,Le temps des Lilas,6/8; 3/4,f
bc100,BC051_perrine-etait-servate_p64,Perrine était servante,2/4; 3/4,G
bc100,BC052,Le temps des pommes,2/4,C
bc100,BC053,Ave Maria,4/4,Bb
bc100,BC054,"René Goupil à sa mère (Air de: ""La Lettre du Gabier"")",3/4,D
bc100,BC055,Au bois du rossignolet,2/4,F
bc100,BC056,Quand il neige sur mon pays,2/2,F
bc100,BC057,Rêves canadiens,4/4,G
bc100,BC058,Y en a pas comm' vous,6/8,G
bc100,BC059,Mariann' s'en va-t-au moulin,6/8,G
bc100,BC060,La jardinière du Roi,3/4,D
bc100,BC061,La vie est belle,3/4,F
bc100,BC062,Marche des Rois mages,4/4,g
bc100,BC063,La rim doum dim,2/4,F
bc100,BC064,Ferme tes jolis yeux,6/8,G; e; D; A
bc100,BC065,Ah! Si mon moine voulait danser,2/4,G
bc100,BC066,Nanette,2/4,G
bc100,BC067,Mon père avait cinq cents moutons,6/8; 9/8; 12/8,G
bc100,BC068,La bergère fidèle,6/8,g
bc100,BC069,Le credo du pêcheur,2/4,Eb
bc100,BC070,"Envoyons d'l'avant, nos gens!",2/4,a
bc100,BC071,Ne fais jamais pleurer ta mère,3/4,G
bc100,BC072,Le sourire,6/8; 9/8,F
bc100,BC073,Mon père n'avait fille que moi,2/4; 3/4,d
bc100,BC074,J'ai tant dansé,4/4,Bb
bc100,BC075,La ronde du bonheur,4/4,g
bc100,BC076,Cécilia,6/8,D
bc100,BC077,Boum badiboum,3/4; 2/4,g
bc100,BC078,"Tu danses bien, Madeleine",4/4,D
bc100,BC079,Entendez-vous sur l'ormeau,4/4,D
bc100,BC080,"Bonhomme, bonhomme",6/8,Bb
bc100,BC081,La grand' d'mande,2/4,C; A; a
bc100,BC082,Mon père m'y marie,2/4,d
bc100,BC083,Belle rose du printemps,3/4; 2/4,G
bc100,BC084,Si tu pouvais rêver toujours! (Berceuse),12/8,C
bc100,BC085,Berceuse,3/4,F
bc100,BC086,"Quand j'étais chez mon père, apprenti pastouriau",3/4,G
bc100,BC087,"Papillon, tu es volage",2/4,g
bc100,BC088,Santa Lucia (Bararolle Napolitaine),3/4,C
bc100,BC089,Marie Ma-de-leine,2/4; 3/4; 4/4,G
bc100,BC090,"Meunier, tu dors",4/4; 3/4; 2/4,G
bc100,BC091,Bourdon,4/4,C
bc100,BC092,Sur la route de Dijon,2/4,G
bc100,BC093,Les gars de Locminé,2/2,e
bc100,BC094,Je n'ai pas de barbe au menton,2/4,g
bc100,BC095,Le bal chez Boulé,6/8,G
bc100,BC096,Le nez de Martin,2/4,g
bc100,BC097,Colin (ou: La poule à Colin),4/4,a
bc100,BC098,Un p'tit moulin sur la rivière,2/4; 3/4,F
bc100,BC099,Marie Calumet,2/4,C
bc100,BC100,Pot pourri,2/4; 3/4; 6/8; 9/8; 4/4,G
bc100,BC101,Le crédo du paysan,12/8,C; G; e; a
bc100,BC102,Le lac des amours,6/8,D
bc100,BC103,,2/4,C
bc100,BC104,Dans tous les cantons,2/4,G
bc100,BC105,Il n'y a qu'un seul Dieu,2/4; 3/4,
bc100,BC106,Comm'ça,2/4,Bb
bc100,BC107,,2/4,G
bc100,BC108,J'ai cueilli la belle rose,3/4; 2/4,Bb
bc100,BC102,Le lac des amours,6/8,D
bc100,BC110,La Bonne Chanson se chante partout,3/4,C
bc100,BC111,Youppe! Youppe! Sur la rivière,2/4; 6/8; 9/8,G
bc100,BC112,"Bonsoir, mes amis, bonsoir!",2/4; 4/4,G
bc100,BC113,Nos souvenirs,3/4,C
bc100,BC114,Au revoir,4/4,G
eg104,EG001,Adam et Ève,,G
eg104,EG002b,Ah! je m'en vais entrer en danse,2/4,C
eg104,EG002c,Ah! je m'en vais entrer en danse,2/4,C
eg104,EG003,Ah! Qui marierons-nous?,2/4,F
eg104,EG004,Ah! Qui me passera le bois,6/8,g
eg104,EG005,Ah! Si mon moine voulait danser!,2/8,G
eg104,EG006b,À la claire fontaine,2/4,F
eg104,EG006c,À la claire fontaine,3/8,G
eg104,EG007,À la santé de ces jeunes mariés,3/4,G
eg104,EG008,"À Saint-Malo, beau port de mer",2/4,G
eg104,EG009,Au bois du rossignolet,2/4,F
eg104,EG010,Au jardin de mon père un oranger lui ya,2/4,C
eg104,EG011,Aurai-je Nanette?,3/8,g
eg104,EG012,Bal chez boulé,3/8,F
eg104,EG013,"Bonhomme, bonhomme, que sait-tu donc faire?",2/4,
eg104,EG014,Cécilia,6/8,F
eg104,EG015,Celle que mon cœur aime,3/8,G
eg104,EG016,C'est dans la ville de Bytown,2/4; 3/4,g
eg104,EG017,C'est dans la ville de Rouen,2/4; 2/8,F
eg104,EG018,C'est dans Paris ya-t-une brune,3/8,G
eg104,EG019b,C'est la belle françoise,6/8,g
eg104,EG019c,C'est la belle françoise,6/8,g
eg104,EG019d,C'est la belle Françoise (autre air),3/8,A
eg104,EG020b,C'est la plus belle de céans,6/8,
eg104,EG020c,C'est la plus belle de céans,6/8,
eg104,EG021,C'est la poulette grise,2/4,C
eg104,EG022,C'est le bon vin qui danse,3/8,Eb
eg104,EG023,C'est l'vent frivolant,2/4,C
eg104,EG024,C'est pinson avec cendrouille,2/4,C
eg104,EG025,C'était une frégate,3/8,
